,prenom,genre,fréquence
297,albina,0,0
298,albrecht,1,0.16
299,alby,1,14.97
300,alcaeus,1,0
301,alcippe,0,0
302,alcyone,0,0
303,alden,1,0.03
304,aldo,1,4.59
305,aldous,1,0.22
306,aldrick,1,0
307,alea,0,1.31
308,alease,0,0
309,alec,1,0.03
310,alechjo,1,0
311,aled,1,0
312,aleesha,0,0
313,aleit,0,0
314,alejandra,0,0
315,alejandro,1,0
316,alejo,1,0
317,aleksandar,1,0
318,aleksander,1,0
319,aleksandr,1,0
320,aleksandra,0,0
321,aleksandrina,0,0
322,aleksandro,1,0
323,aleksanteri,1,0
324,aleksei,1,0
325,aleksi,1,0
326,alene,0,0
327,alenka,0,0
328,ales,1,0
329,alesha,0,0
330,alessa,0,0
331,alessandra,0,0
332,alessandro,1,1.21
333,alessia,0,0
334,alessio,1,0
335,aleta,0,0
336,aletha,0,0
337,alethea,0,0
338,alex,2,3.03
339,alexa,0,0
340,alexander,1,2.10
341,alexandr,1,0
342,alexandra,0,2.26
343,alexandre,1,18.00
344,alexandrea,0,0
345,alexandria,0,0
346,alexandrie,0,5.54
347,alexandrina,0,0
348,alexandros,1,0.10
349,alexandru,1,0
350,alexei,1,0
351,alexej,1,0
352,alexia,0,0
353,alexina,0,0
354,alexis,1,0
355,alexis,0,0
356,alexius,1,0
357,alexus,0,0
358,alf,1,0.03
359,alfeo,1,0
360,alfhild,0,0
361,alfons,1,0.03
362,alfonsina,0,0
363,alfonso,1,0.25
364,alfréd,1,0
365,alfred,1,5.48
366,alfreda,0,0
367,alfredo,1,0.41
368,alfsigr,0,0
369,algar,1,0
370,alger,1,22.65
371,algernon,1,0.03
372,ali,1,8.44
373,alia,0,0.10
374,aliah,0,0
375,alice,0,10.07
376,alicia,0,0.35
377,alida,0,0.48
378,aliisa,0,0
379,alin,1,0.06
380,alina,0,0
381,alina,0,0
382,aline,0,0.61
383,alis,0,0.10
384,alisa,0,0.10
385,alisha,0,0
386,alisia,0,0
387,alison,2,0.03
388,alissa,0,0.48
389,alistair,1,0.03
390,alister,1,0
391,alisya,0,0
392,alix,2,5.80
393,aliyah,0,0
394,aliz,0,0
395,aliza,0,0
396,allan,1,0.35
397,allannah,0,0
398,allegra,0,0
399,allegria,0,0.03
400,allen,1,0.83
401,allie,0,1.05
402,allison,0,0.19
403,allon,1,0.03
404,ally,0,0
405,allycia,0,0
406,allyn,1,0
407,allyson,0,0
408,alma,0,0.96
409,almas,0,0
410,almira,0,0
411,almudena,0,0
412,alodia,0,0
413,alois,1,0
414,aloisia,0,0
415,aloisio,1,0
416,alojz,1,0
417,alon,1,0
418,alondra,0,0
419,alonso,1,6.08
420,alonzo,1,0.10
421,aloysius,1,2.17
422,alp,1,0
423,alpertti,1,0
424,alpha,2,1.85
425,alphaeus,1,0
426,alphonse,1,8.16
427,alphonsine,0,0.10
428,alphonso,1,0
429,alphonsus,1,0
430,alphonzo,1,0
431,alpin,1,1.12
432,alta,0,0.16
433,altan,1,1.56
434,alte,0,0
435,alter,1,0.54
436,althea,0,0.03
437,alton,1,0.03
438,aludra,0,0
439,alun,1,0.86
440,alva,1,0.06
441,alvah,1,0
442,alvar,1,0.03
443,álvaro,1,0
444,alvena,0,0
445,alvilda,0,0
446,alvin,1,0.10
447,alvina,0,0
448,alvis,1,0
449,alwilda,0,0
450,alwyn,1,0
451,alya,0,0
452,alyce,0,0
453,alyona,0,0
454,alys,0,0
455,alysha,0,0
456,alyson,0,0
457,alyssa,0,0
458,alyssia,0,0
459,alyusha,1,0
460,alyx,0,0
461,alzbeta,0,0
462,ama,0,0.13
463,amabel,0,0
464,amada,0,0.03
465,amadeo,1,0.35
466,amadeus,1,0.10
467,amadi,0,0
468,amadi,1,0
469,amal,2,0
470,amal,1,0
471,amala,0,0
472,amália,0,0
473,amalia,0,0.03
474,amalric,1,0
475,amalthea,0,0
476,amanda,0,0.25
477,amandine,0,0.48
478,amando,1,0
479,amani,0,0
480,amar,1,1.56
481,amara,0,0.03
482,amaranta,0,0
483,amarante,0,0.76
484,amardad,1,0
485,amariah,1,0
486,amaryllis,0,0.96
487,amaterasu,0,0.06
488,amato,1,0
489,amaury,1,6.75
490,amaya,0,0
491,amber,0,0.13
492,ambra,0,0
493,ambre,0,3.76
494,ambrogino,1,0
495,ambrogio,1,0.03
496,ambroise,1,1.59
497,ambrose,1,0.10
498,ambrosia,0,0
499,ambrosine,0,0
500,ambrosio,1,0
501,ambrus,1,0
502,amedea,0,0
503,amédée,1,1.72
504,amedeo,1,0.10
505,amedeus,1,0
506,amélia,0,0.06
507,amelia,0,0
508,amélie,0,1.59
509,amen,1,1.88
510,amenhotep,1,0
511,america,0,0.54
512,americo,1,0
513,amerigo,1,0.13
514,amethyst,0,0
515,amhlaidh,1,0
516,amhlaoibh,1,0
517,ami,0,93.44
518,amias,1,0
519,amice,0,0.06
520,amie,0,33.13
521,amika,0,0
522,amilcar,1,0.10
523,amilia,0,0
524,amin,1,0.10
525,amina,0,0
526,aminda,0,0
527,aminta,0,0.03
528,amir,1,0
529,amir,1,0
530,amira,0,0
531,amita,0,0
532,amittai,1,0
533,amity,0,0
534,ammiel,1,0
535,ammon,1,0.19
536,amon,1,0.03
537,amos,1,0.10
538,amparo,0,0
539,amrit,2,0
540,amrita,0,0
541,amy,0,0.06
542,amyas,1,0
543,amynta,0,0
544,an,2,82.32
545,ana,0,4.62
546,anacleto,1,0
547,anacletus,1,0
548,anahid,0,0
549,anahita,0,0
550,anaïs,0,0.03
551,anaitis,0,0
552,anakin,1,0
553,anakoni,1,0
554,anan,2,0
555,anan,1,0
556,anand,1,0
557,ananda,0,0.03
558,anani,1,0
559,ananias,1,0
560,ananta,1,0
561,ananth,1,0
562,anantha,1,0
563,anargyros,1,0.16
564,anaru,1,0
565,anas,1,0.06
566,anass,1,0
567,anastacia,0,0
568,anastas,1,0
569,anastasia,0,0.76
570,anastasie,0,0.22
571,anastasio,1,0
572,anastasios,1,0
573,anastasius,1,0
574,anasztáz,1,0
575,anasztázia,0,0
576,anat,0,0.03
577,anath,1,0
578,anath,0,0
579,anatole,1,5.22
580,anatoli,1,0
581,anatolius,1,0
582,anatoly,1,0
583,anatu,0,0
584,anaxagoras,1,0
585,anca,0,0
586,anchjo,1,0
587,andela,0,0
588,ander,1,0
589,anders,1,0.29
590,anderson,1,1.72
591,andor,1,0
592,andra,0,0
593,andrás,1,0
594,andras,1,0
595,andraste,0,0
596,andré,1,31.54
597,andrea,1,0
598,andrea,0,0
599,andreas,1,0.25
600,andrée,0,0.80
601,andreea,0,0
602,andrei,1,0.16
603,andreia,0,0
604,andrej,1,0
605,andreja,0,0
606,andrés,1,0.03
607,andreu,1,0.03
608,andrew,1,0.57
609,andriana,0,0
610,andries,1,0
611,andrija,1,0
612,andrina,0,0
613,andris,1,0
614,andriy,1,0
615,andro,1,0.03
616,androcles,1,0
617,andromache,0,0
618,andromeda,0,0
619,andronikos,1,0
620,andrzej,1,0.03
621,andy,1,0.10
622,ane,0,0.19
623,aneirin,1,0
624,anelie,0,0
625,anemone,0,0
626,aneurin,1,0
627,anfisa,0,0
628,angel,2,6.63
629,ángela,0,0
630,angela,0,0.32
631,angèle,0,0.80
632,angelia,0,0
633,angelica,0,0.38
634,angelika,0,0
635,angelina,0,0.06
636,angeline,0,0.03
637,angelique,0,0.03
638,angelita,0,0
639,angelle,0,0
640,angelo,1,3.57
641,angelos,1,0.10
642,angerona,0,0
643,angharad,0,0
644,angie,0,0.06
645,angus,1,1.05
646,angyalka,0,0
647,ania,0,0.03
648,anibal,1,0
649,anica,0,0
650,anicetus,1,0
651,aniela,0,0.76
652,anika,0,0
653,aniketos,1,0
654,anikó,0,0
655,anima,0,0
656,anima,0,0
657,aniruddha,1,0
658,anisa,0,0
659,anise,0,0
660,anisim,1,0
661,anita,0,8.35
662,anja,0,0.10
663,anjali,0,0.03
664,anjelica,0,0
665,anka,0,0
666,anke,0,0
667,ankur,1,0
668,ann,0,0.38
669,anna,0,14.94
670,annabel,0,0.06
671,annabella,0,0.35
672,annabelle,0,0
673,annalisa,0,0
674,annas,1,0
675,anne,0,45.59
676,anneka,0,0
677,anneke,0,0
678,anneli,0,0
679,annelie,0,0
680,anneliese,0,0.03
681,annelise,0,0
682,annemarie,0,0
683,annetta,0,0
684,annette,0,1.37
685,annice,0,0
686,annick,0,0.22
687,annie,0,9.17
688,anniina,0,0
689,annika,0,0
690,annikki,0,0
691,annis,0,0
692,annmarie,0,0
693,annunciata,0,0
694,annunziata,0,0.03
695,annuska,0,0
696,anona,0,0
697,anouk,0,0.06
698,anoush,0,0
699,anouska,0,0
700,anraí,1,0
701,ansel,1,0.03
702,anselm,1,0
703,anselma,0,0
704,anselme,1,1.08
705,anselmo,1,0
706,ansgar,1,0
707,anshel,1,0
708,anson,1,0.03
709,antal,1,0.10
710,antanas,1,0.03
711,ante,1,1.15
712,antero,1,0
713,anthea,0,0
714,anthony,1,0.80
715,antigone,0,0.86
716,antigonus,1,0
717,antiope,0,0.10
718,antipater,1,0
719,antje,0,0
720,anto,1,0.06
721,antoine,1,46.70
722,antoinette,0,9.37
723,anton,1,5.16
724,antonella,0,0.03
725,antonello,1,0.03
726,antonette,0,0
727,antoni,1,0.10
728,antonia,0,0.10
729,antonie,0,0
730,antonietta,0,0
731,antonija,0,0
732,antonina,0,0
733,antonino,1,0
734,antonio,1,1.69
735,antonius,1,0.03
736,antono,1,0
737,antony,1,0.51
738,antti,1,0
739,antun,1,0
740,antwan,1,0
741,anubis,1,0.10
742,anunciación,0,0
743,anupam,1,0
744,anushka,0,0
745,anwar,1,0.03
746,anwen,0,0
747,anwer,1,0
748,anya,0,0
749,aodh,1,0
750,aodhán,1,0
751,aoibheann,0,0
752,aoibhín,0,0
753,aoide,0,0
754,aoife,0,0
755,aonghas,1,0
756,aonghus,1,0
757,aphra,0,0
758,aphrodisia,0,0
759,aphrodisios,1,0
760,aphrodite,0,0.80
761,apikalia,0,0
762,apolinar,1,0
763,apollinaire,1,4.14
764,apollinaris,1,0
765,apollinariya,0,0
766,apolline,0,0.22
767,apollo,1,0.16
768,apollodoros,1,0
769,apollonia,0,0.03
770,apollonios,1,0
771,apolonija,0,0
772,apostolis,1,0
773,apostolos,1,0
774,apphia,0,0
775,appius,1,0.06
776,april,0,0
777,aquila,1,0.29
778,arabella,0,0.06
779,araceli,0,0
780,aracelis,0,0
781,aracely,0,0
782,arachne,0,0
783,aragorn,1,0
784,araminta,0,0
785,aran,0,0.03
786,aranka,0,0
787,aranrhod,0,0
788,arantxa,0,0
789,aras,1,0.06
790,arata,1,0
791,aravinda,1,0
792,arcadia,0,0.03
793,arcangelo,1,0
794,arcelia,0,0
795,archelaus,1,0
796,archibald,1,6.72
797,archie,1,0.54
