,prenom,genre,fréquence
2721,doriano,1,0
2722,dorika,0,0
2723,dorinda,0,0
2724,doris,0,0.22
2725,dorit,0,0
2726,dorita,0,0
2727,dorofei,1,0
2728,doron,1,0
2729,dorota,0,0
2730,dorotea,0,0
2731,dorotéia,0,0
2732,dorothea,0,0
2733,dorothée,0,0.57
2734,dorotheos,1,0
2735,dorothy,0,1.15
2736,dorottya,0,0
2737,dorris,0,0
2738,dortha,0,0
2739,dorthy,0,0
2740,doru,1,0
2741,dory,0,0.03
2742,dosia,0,0
2743,dot,0,3.03
2744,dottie,0,0
2745,dotty,0,0.03
2746,doug,1,0.19
2747,dougal,1,0.10
2748,douglas,1,2.99
2749,dov,1,0
2750,dovid,1,0
2751,doyle,1,0.16
2752,draco,1,0
2753,dragan,1,0
2754,dragana,0,0
2755,dragica,0,0
2756,dragomir,1,0
2757,dragos,1,0
2758,drake,1,0.61
2759,draven,1,0
2760,dreda,0,0
2761,drew,1,0
2762,drina,0,0
2763,driscoll,1,0
2764,driskoll,1,0
2765,drogo,1,0
2766,drummond,1,0.03
2767,drusilla,0,0
2768,drystan,1,0
2769,dua,0,0.13
2770,duana,0,0
2771,duane,1,0.10
2772,duarte,1,0
2773,dubaku,2,0
2774,dubhghall,1,0
2775,dubhghlas,1,0
2776,duc,1,21.50
2777,duci,0,0
2778,dudel,1,0
2779,dudley,1,0.22
2780,duff,1,1.15
2781,dugald,1,0.03
2782,duha,0,0
2783,duilio,1,0
2784,duke,1,0.67
2785,dulcibella,0,0
2786,dulcie,0,0
2787,duleep,1,0
2788,dumitru,1,0
2789,duncan,1,0.48
2790,dung,1,0
2791,dunja,0,0
2792,dunstan,1,0
2793,dunya,0,0
2794,dunyasha,0,0
2795,duong,1,0
2796,durand,1,1.47
2797,durga,0,0
2798,durward,1,0.03
2799,dusan,1,0
2800,dustin,1,0.10
2801,dusty,2,0
2802,duygu,1,0
2803,dvorah,0,0
2804,dwayne,1,0
2805,dwight,1,0.19
2806,dwyn,1,0
2807,dyan,0,0
2808,dylan,1,0.57
2809,dylis,0,0
2810,dymphna,0,0
2811,dympna,0,0
2812,éabha,0,0
2813,eachann,1,0
2814,eadan,0,0
2815,éadaoin,0,0
2816,eadbhárd,1,0
2817,eadburga,0,0
2818,eadwig,1,0
2819,ealasaid,0,0
2820,ealdgyð,0,0
2821,ealisaid,0,0
2822,eallair,1,0
2823,eamon,1,0
2824,éamonn,1,0
2825,ean,1,0
2826,eanraig,1,0
2827,earl,1,0.22
2828,earle,1,0
2829,earleen,0,0
2830,earlene,0,0
2831,earline,0,0
2832,earnest,1,0.03
2833,earnestine,0,0
2834,eartha,0,0
2835,easter,2,0
2836,eavan,0,0
2837,ebba,0,0
2838,ebbe,1,0
2839,eben,1,0
2840,ebenezer,1,0
2841,eber,1,0
2842,eberardo,1,0
2843,eberhard,1,0
2844,ebert,1,0.03
2845,ebony,0,0
2846,ebrahim,1,0
2847,ecaterina,0,0
2848,ece,0,0.13
2849,echo,0,0.10
2850,eckbert,1,0
2851,eckehard,1,0
2852,eckhard,1,0.03
2853,ed,1,1.94
2854,edan,1,0
2855,edana,0,0
2856,edda,0,0.06
2857,eddie,2,5.26
2858,eddy,1,0.48
2859,edelmira,0,0
2860,eden,0,6.18
2861,edgar,1,3.60
2862,edgard,1,0.03
2863,edgardo,1,0
2864,edie,0,0
2865,edina,0,0
2866,edison,1,0.83
2867,edit,0,0
2868,edita,0,0
2869,edite,0,0
2870,édith,0,1.59
2871,edith,0,0.06
2872,edmé,0,0
2873,edmond,1,3.47
2874,edmonda,0,0
2875,edmondo,1,0
2876,edmund,1,0.89
2877,edmundo,1,0.06
2878,edna,0,0
2879,edna,0,0
2880,edoardo,1,0
2881,edom,1,0
2882,édouard,1,13.89
2883,edric,1,0
2884,edsel,1,0
2885,eduard,1,0.32
2886,eduarda,0,0
2887,eduardo,1,0.41
2888,edurne,0,0
2889,edvard,1,0.03
2890,edvige,0,0
2891,edward,1,3.15
2892,edweena,0,0
2893,edwena,0,0
2894,edwige,0,0.19
2895,edwin,1,0.22
2896,edwina,0,0
2897,edwyn,1,0
2898,edwyna,0,0
2899,edyta,0,0
2900,edytha,0,0
2901,edythe,0,0
2902,eerikki,1,0
2903,eero,1,0
2904,eetu,1,0
2905,eeva,0,0
2906,effie,0,0.06
2907,efigênia,0,0
2908,efisio,1,0
2909,efraim,1,0
2910,efraín,1,0
2911,efstathios,1,0
2912,efua,0,0
2913,egbert,1,0
2914,egidio,1,0.03
2915,egil,1,0
2916,eglantine,0,0
2917,egon,1,0.06
2918,ehud,1,0
2919,éibhear,1,0
2920,éibhir,1,0
2921,eibhlín,0,0
2922,eideard,1,0
2923,eidel,0,0
2924,eileen,0,0.06
2925,eilert,1,0
2926,eilidh,0,0
2927,eilís,0,0
2928,eilish,0,0
2929,eiluned,0,0
2930,eilwen,0,0
2931,éimhín,1,0
2932,eimhir,0,0
2933,einar,1,0
2934,einion,1,0
2935,einrí,1,0
2936,eira,0,0
2937,eiran,1,0
2938,eireann,0,0
2939,eireen,0,0
2940,eirene,0,0
2941,eirian,0,0
2942,eirik,1,0
2943,eirlys,0,0
2944,eirwen,0,0
2945,eitan,1,0
2946,eithne,0,0
2947,ekaterina,0,0
2948,ekewaka,1,0
2949,ekin,0,0
2950,ekkehardt,1,0
2951,ekua,0,0
2952,ekwueme,1,0
2953,eladio,1,0
2954,elain,0,0
2955,elaine,0,0
2956,elario,1,0
2957,elba,0,0
2958,elbert,1,0
2959,elda,0,0
2960,elder,1,0.03
2961,eldon,1,0
2962,eldred,1,0
2963,eldreda,0,0
2964,elea,0,0
2965,eleanor,0,0.06
2966,eleanora,0,0
2967,eleanore,0,0
2968,eleazar,1,0
2969,electra,0,0.06
2970,eleftheria,0,0
2971,eleftherios,1,0
2972,elek,1,0
2973,elen,0,0
2974,elena,0,0.32
2975,elene,0,0
2976,eleni,0,0
2977,elenora,0,0
2978,eleonoora,0,0
2979,eleonor,0,0.03
2980,eleonora,0,0.03
2981,eléonore,0,0.03
2982,eleonore,0,0
2983,eleri,0,0
2984,elettra,0,0
2985,eleuterio,1,0
2986,eleutherius,1,0
2987,elfa,0,0
2988,elfleda,0,0
2989,elfreda,0,0
2990,elfrida,0,0
2991,elfriede,0,0
2992,eli,1,0
2993,elia,1,0
2994,elian,1,0
2995,eliana,0,0.03
2996,éliane,0,0.48
2997,elias,1,0.03
2998,elicia,0,0
2999,elidi,0,0
3000,eliezer,1,0
3001,eligia,0,0
3002,eligio,1,0
3003,elihu,1,0.03
3004,eliina,0,0
3005,eliisa,0,0
3006,elijah,1,0
3007,elikapeka,0,0
3008,elin,0,0
3009,elina,0,0
3010,elinor,0,0
3011,eliot,1,0.25
3012,eliott,1,0
3013,eliphalet,1,0
3014,eliphelet,1,0
3015,elisa,0,0.10
3016,elisabet,0,0
3017,elisabeta,0,0
3018,elisabeth,0,0.54
3019,elisabetta,0,0.03
3020,elisavet,0,0
3021,elisaveta,0,0
3022,élise,0,2.36
3023,elise,0,0.06
3024,eliseo,1,0
3025,elisha,1,0.06
3026,elisheba,0,0
3027,elisheva,0,0
3028,elissa,0,0
3029,elissa,0,0
3030,elisud,1,0
3031,elita,0,0
3032,eliud,1,0
3033,eliyahu,1,0
3034,eliza,0,0
3035,elizabeta,0,0
3036,elizabeth,0,0.45
3037,elizaveta,0,0
3038,elkan,1,0
3039,elkanah,1,0
3040,elke,0,0
3041,elke,0,0
3042,ella,0,0.06
3043,ellar,1,0
3044,elle,0,4870.31
3045,ellen,0,0.41
3046,ellery,2,0.06
3047,elli,0,0
3048,elli,0,0
3049,ellie,0,0
3050,elliot,1,0.19
3051,elliott,1,0.19
3052,ellis,1,0
3053,ellis,1,0
3054,elly,0,0
3055,elma,0,0
3056,elmas,0,0
3057,elmer,1,0.10
3058,elmira,0,0.06
3059,elmo,1,0
3060,elnathan,1,0
3061,elnora,0,0
3062,elodia,0,0
3063,élodie,0,4.84
3064,elof,1,0
3065,eloi,1,0
3066,eloisa,0,0
3067,éloise,0,0
3068,eloise,0,0
3069,elouise,0,0
3070,elov,1,0
3071,eloy,1,0
3072,elpida,0,0
3073,elpidio,1,0
3074,elpidius,1,0
3075,elpis,0,0
3076,elric,1,0
3077,elrond,1,0
3078,elroy,1,0
3079,elsa,0,5.51
3080,elsabeth,0,0
3081,elsdon,1,0
3082,else,0,0.16
3083,elsie,0,0.03
3084,elspet,0,0
3085,elspeth,0,0
3086,elton,1,0.16
3087,eluf,1,0
3088,eluned,0,0
3089,elva,0,0
3090,elvin,1,0
3091,elvina,0,0
3092,elvira,0,0
3093,elvis,1,0.83
3094,elwin,1,0.03
3095,elwood,1,0
3096,elwyn,1,0
3097,ely,1,0.10
3098,elyse,0,0
3099,elysia,0,0.03
3100,elzbieta,0,0.45
3101,em,0,0.54
3102,emánuel,1,0
3103,emanuel,1,0.03
3104,emanuele,1,0
3105,emel,0,0
3106,emelie,0,0
3107,emelina,0,0
3108,emeline,0,0
3109,emely,0,0
3110,emer,0,0
3111,emerald,0,0
3112,emeric,1,0
3113,emerson,1,0.38
3114,emery,1,0.03
3115,emi,0,0.16
3116,emidio,1,0
3117,emil,1,0.29
3118,émile,1,12.14
3119,emilee,0,0
3120,emilia,0,0
3121,emilian,1,0
3122,emiliana,0,0
3123,emiliano,1,0.13
3124,émilie,0,0.70
3125,emilie,0,0.10
3126,émilien,1,0.03
3127,emilio,1,0.06
3128,emily,0,0.25
3129,emine,0,0
3130,emlyn,1,0
3131,emma,0,1.21
3132,emmaline,0,0
3133,emmanouil,1,0
3134,emmanuel,1,2.61
3135,emmanuelle,0,0.06
3136,emmeline,0,0
3137,emmerich,1,0.03
3138,emmerson,1,0
3139,emmet,1,0
3140,emmett,1,0.03
3141,emmie,0,0
3142,emmy,0,0.03
3143,emory,1,0
3144,emrys,1,0
3145,emyr,1,0
3146,ena,0,0.67
3147,encarnacion,0,0.06
3148,endre,1,0
3149,enéas,1,0
3150,enfys,2,0
3151,engel,1,0.22
3152,engelbert,1,0.10
3153,engin,1,8.73
3154,enid,0,0
3155,eniola,1,0
3156,enitan,1,0
3157,ennio,1,0
3158,ennis,2,0.10
3159,enoch,1,0.06
3160,enok,1,0
3161,enola,0,0
3162,enos,1,0
3163,enosh,1,0
3164,enric,1,0
3165,enrica,0,0
3166,enrico,1,1.02
3167,enrique,1,0.03
3168,enu,2,0
3169,enya,0,0
3170,enyo,0,0
3171,enzo,1,0.06
3172,eoforhild,0,0
3173,eoghan,1,0
3174,eoin,1,0
3175,eos,0,0
3176,eowyn,0,0
3177,epaphras,1,0
3178,epaphroditos,1,0
3179,ephraim,1,0
3180,epifanio,1,0
3181,epiktetos,1,0
3182,epiphany,0,0
3183,epona,0,0
3184,eppie,0,0
3185,era,0,0.22
3186,eran,1,0
3187,erasmus,1,0.03
3188,erastus,1,0
3189,erato,0,0.06
3190,ercole,1,0.03
3191,ercwlff,1,0
3192,erdem,1,0
3193,erdmann,1,0
3194,erebus,1,0.06
3195,eren,1,0
3196,erez,1,0
3197,erhard,1,0
3198,eric,1,0.51
3199,erica,0,0
3200,erich,1,0.51
3201,erick,1,0
3202,ericka,0,0
3203,erik,1,0.32
3204,erika,0,0.10
3205,erin,0,0.03
3206,eris,0,0.06
3207,erishkigal,0,0
3208,erkki,1,0
3209,erland,1,0.03
3210,erle,1,0
3211,erlend,1,0.89
3212,erma,0,0
3213,ermanno,1,0
3214,ermenegilde,1,0
3215,ermenegildo,1,0
3216,ermentraud,0,0
3217,ermentraude,0,0
3218,ermete,0,0
3219,ermintrude,0,0
3220,ermolai,1,0
3221,ermtraud,0,0
3222,ern,1,0
3223,erna,0,0.03
3224,ernest,1,6.50
3225,ernesta,0,0
3226,ernestine,0,0.19
3227,ernesto,1,0
3228,ernie,1,0
3229,ernõ,1,0
3230,ernst,1,2.13
3231,eros,1,0.32
3232,errol,1,0.06
3233,erskine,1,0.13
3234,ervin,1,0.03
3235,ervins,1,0
3236,erwan,1,0
3237,erwin,1,0.03
3238,erykah,0,0
3239,eryn,0,0
3240,erzsébet,0,0
3241,erzsi,0,0
3242,esa,1,0.06
3243,esaias,1,0
3244,esau,1,0.03
3245,esdras,1,0.06
3246,eseld,0,0
3247,eser,2,0
3248,eshe,0,0
3249,esi,0,0
3250,esin,0,0
3251,esmail,1,0
3252,esmaralda,0,0
3253,esmé,2,0
3254,esmée,0,0.96
3255,esmeralda,0,0.16
3256,esmond,1,0.03
3257,esmund,1,0
3258,esperanta,0,0
3259,esperanza,0,0
3260,espiridion,1,0
3261,essa,0,0
3262,essence,0,38.52
3263,essie,0,0
3264,esta,0,0.10
3265,estachio,1,0
3266,estavan,1,0
3267,estéban,1,0
3268,estee,0,0
3269,estefanía,0,0
3270,estela,0,0
3271,estella,0,0
3272,estelle,0,0.64
3273,ester,0,0.54
3274,esteri,0,0
3275,estevão,1,0
3276,estève,1,0.16
3277,esteve,1,0
3278,esther,0,3.73
3279,estrella,0,0.13
3280,esyllt,0,0
3281,eszter,0,0
3282,eszti,0,0
3283,étaín,0,0
3284,etel,0,0
3285,etelka,0,0
3286,ethalyn,0,0
3287,ethan,1,0
3288,ethel,0,1.18
3289,ethelbert,1,0
3290,etheldreda,0,0
3291,ethelinda,0,0
3292,ethelred,1,0
3293,ethna,0,0
3294,ethne,0,0
3295,étienne,1,10.58
3296,etna,0,0.38
3297,etta,0,0
3298,ettie,0,0
3299,ettore,1,0.06
3300,etzel,1,0.06
3301,euan,1,0
3302,euclid,1,0
3303,eudocia,0,0
3304,eudora,0,0
3305,eudoxia,0,0
3306,eufemia,0,0.06
3307,eugen,1,0.16
3308,eugène,1,7.20
3309,eugene,1,0
3310,eugênia,0,0
3311,eugenia,0,0.03
3312,eugénie,0,4.11
3313,eugênio,1,0
3314,eugenio,1,6.21
3315,eula,0,0
3316,eulalia,0,0
3317,eulalie,0,0.19
3318,eulia,0,0
3319,eumelia,0,0
3320,eunice,0,0
3321,euphemia,0,0
3322,euphranor,1,0
3323,euphrosyne,0,0
3324,euripides,1,0
3325,eurydice,0,1.05
3326,eusebio,1,0.03
3327,eusebios,1,0
3328,eusebius,1,0
3329,eustace,1,0
3330,eustache,1,2.01
3331,eustacia,0,0
3332,eustaquio,1,0
3333,eustathios,1,0
3334,euterpe,0,0.06
3335,euthalia,0,0
3336,euthymius,1,0
3337,eutropia,0,0
3338,eutropio,1,0
3339,eutropius,1,0
3340,eutychius,1,0
3341,eutychos,1,0
3342,éva,0,1.05
3343,eva,0,0.19
3344,evadne,0,0
3345,evaline,0,0
3346,evalyn,0,0
3347,evan,1,0
3348,evander,1,0
3349,evander,1,0
3350,evangelina,0,0
3351,evangeline,0,0.06
3352,evangelos,1,0
3353,évariste,1,0.25
3354,evaristo,1,0
3355,evaristus,1,0
3356,evdokia,0,0
3357,evdokiya,0,0
3358,eve,0,0.22
3359,eveleen,0,0
3360,eveliina,0,0
3361,evelina,0,0
3362,eveline,0,0
3363,evelyn,2,0.13
3364,everard,1,0
3365,everett,1,0
3366,everette,2,0
3367,everild,0,0
3368,everitt,1,0
3369,evert,1,0
3370,evette,0,0
3371,evfemia,0,0
3372,evfrosyne,0,0
3373,evgeni,1,0
3374,evgenia,0,0
3375,evgeniya,0,0
3376,evgeny,1,0
3377,evie,0,0
3378,évike,0,0
3379,evita,0,0.16
3380,evonne,0,0
3381,evpraksiya,0,0
3382,evrard,1,0.06
3383,evron,1,0
3384,evstathios,1,0
3385,evthalia,0,0
3386,ewa,0,0.35
3387,ewald,1,0.19
3388,ewan,1,0.03
3389,ewart,1,0.06
3390,ewen,1,0
3391,ezar,1,0
3392,ezekiel,1,0.03
3393,ezra,1,0.51
3394,eztebe,1,0
3395,faas,1,0
3396,fabia,0,5.03
3397,fábián,1,0
3398,fabian,1,0.06
3399,fabiana,0,0.03
3400,fabiano,1,3.66
3401,fabien,1,0.32
3402,fabienne,0,2.07
3403,fabio,1,0.10
3404,fabiola,0,0.10
3405,fabius,1,1.08
3406,fabó,1,0
3407,fabrice,1,0.92
3408,fabricio,1,0
3409,fabrizia,0,0
3410,fabrizio,1,4.49
3411,fachtna,1,0
3412,faddei,1,0
3413,fadi,1,0
3414,fadia,0,0
3415,fadil,1,0.03
3416,fadila,0,0
3417,fadl,1,0
3418,fae,0,0
3419,fáelán,1,0
3420,fahd,1,0
3421,fahim,1,0
3422,fahima,0,0
3423,fahmida,0,0
3424,faiga,0,0
3425,faigel,0,0
3426,fairuza,0,0
3427,faith,0,0.10
3428,faithe,0,0
3429,faivish,1,0
3430,faizel,1,0
3431,fajra,0,0
3432,fakhri,1,0
3433,fakhriyya,0,0
3434,falk,1,0
3435,fancy,0,0.03
3436,fane,1,0.51
3437,fannie,0,0
3438,fanny,0,1.37
3439,faolán,1,0
3440,farag,1,0
3441,farah,0,0.10
3442,faraj,1,0
3443,faramond,1,0
3444,fardoos,0,0
3445,fareed,1,0
3446,farid,1,0.89
3447,farida,0,2.96
3448,fariha,0,0
3449,faris,1,0.03
3450,farley,1,0
3451,faron,1,0.06
3452,farooq,1,0
3453,farouk,1,0.54
3454,farquhar,1,0
3455,farrah,0,0
3456,farran,1,0
3457,farrell,1,0.03
3458,faruq,1,0
3459,fastred,1,0
3460,fathi,1,0
3461,fathiyya,0,0
3462,fatima,0,0.45
3463,fatin,0,0
3464,fatma,0,0.45
3465,fauna,0,0.06
3466,faunus,1,0
3467,fausta,0,0.16
3468,faustina,0,0.57
3469,faustine,0,0.03
3470,fausto,1,0.10
3471,faustus,1,0.19
3472,fawn,0,0
3473,fawzi,1,0
3474,fawziyya,0,0
3475,fay,0,0.29
3476,faye,0,0.10
3477,fayiz,1,0
3478,fayruz,0,0
3479,faysal,1,0
3480,fayvel,1,0
3481,fayza,0,0
3482,fearchar,1,0
3483,feardorcha,1,0
3484,fearghal,1,0
3485,fearghas,1,0
3486,fechín,1,0
3487,fedele,1,0
3488,fedelma,0,0
3489,federica,0,0
3490,federico,1,0.13
3491,federigo,1,0
3492,fedora,0,0
3493,fedot,1,0
3494,fedya,1,0
3495,feichín,1,0
3496,feidhelm,0,0
3497,feidhlim,1,0
3498,feidhlimidh,1,0
3499,feige,0,0
3500,feivel,1,0
3501,felice,1,0.06
3502,felicia,0,0
3503,feliciana,0,0
3504,feliciano,1,0
3505,felicidad,0,0
3506,felicidade,0,0
3507,félicie,0,0.35
3508,felicie,0,0
3509,felicien,1,0
3510,felicienne,0,0
3511,felìcita,0,0
3512,felicity,0,0
3513,felim,1,0
3514,felina,0,0
3515,felipa,0,0
3516,felipe,1,2.45
3517,feliu,1,0
3518,félix,1,6.98
3519,felix,1,0.48
3520,femi,1,0
3521,femie,0,0
3522,femke,0,0
3523,fenella,0,0.03
3524,fenton,1,0
3525,feodor,1,0
3526,feodora,0,0
3527,feofilakt,1,0
3528,ferapont,1,0
3529,ferdie,1,0
3530,ferdinand,1,5.13
3531,ferdinanda,0,0
3532,ferdinando,1,0.06
3533,ferdy,1,0
3534,ferenc,1,0
3535,fergal,1,0
3536,fergie,2,0
3537,fergus,1,0
3538,feri,1,0
3539,ferko,1,0
3540,fermin,1,0.03
3541,fern,0,0
3542,fernand,1,7.58
3543,fernanda,0,0
3544,fernande,0,1.31
3545,fernando,1,3.03
3546,fernão,1,0
3547,ferne,0,0.03
3548,feroze,1,0
3549,ferran,1,0
3550,ferrer,1,1.12
3551,ferruccio,1,0
3552,fester,1,0
3553,festus,1,0
3554,ffion,0,0
3555,ffraid,0,0
3556,fiachna,1,0
3557,fiachra,1,0
3558,fiacre,1,2.23
3559,fiammetta,0,0.03
3560,fidan,0,0
3561,fidda,0,0
3562,fidel,1,0.13
3563,fidelia,0,0
3564,fidelis,1,0.03
3565,fidelma,0,0
3566,fido,1,0.03
3567,fiera,0,0
3568,fife,1,0
3569,fifi,0,3.66
3570,fihr,1,0
3571,fikri,1,0
3572,fikriyya,0,0
3573,filander,1,0
3574,filat,1,0
3575,filbert,1,0
3576,filep,1,0
3577,filib,1,0
3578,filibert,1,0.03
3579,filiberto,1,0
3580,filip,1,0
3581,filipa,0,0
3582,filipe,1,0
3583,filippo,1,0.16
3584,fillin,1,0
3585,filomena,0,0
3586,fina,0,0.06
3587,finbar,1,0
3588,findlay,1,0
3589,finella,0,0
3590,fingal,1,0.16
3591,fingall,1,0
3592,finlay,1,0
3593,finley,1,0.03
3594,finn,1,0.19
3595,finnbar,1,0
3596,finnegan,1,0
3597,finnén,1,0
3598,finnguala,0,0
3599,finnian,1,0
3600,finola,0,0
3601,fintan,1,0
3602,fion,1,1.24
3603,fíona,0,0
3604,fiona,0,0
3605,fionn,1,0
3606,fionnbharr,1,0
3607,fionnghall,1,0
3608,fionnghuala,0,0
3609,fionnlagh,1,0
3610,fionntán,1,0
3611,fionnuala,0,0
3612,fionola,0,0
3613,fioralba,0,0
3614,fiorella,0,0.03
3615,fiorenza,0,0
3616,fiorenzo,1,0
3617,firdaus,1,0
3618,firdos,1,0
3619,firenze,0,0.06
3620,firmin,1,0.54
3621,firmino,1,0
3622,firoz,1,0
3623,fishel,1,0
3624,fishke,1,0
3625,fitz,1,0.13
3626,fitzroy,1,0
3627,fizza,0,0
3628,flaithrí,1,0
3629,flann,2,0
3630,flannan,2,0
3631,flavia,0,0
3632,flavian,1,0
3633,flavie,0,2.45
3634,flavio,1,0.29
3635,flavius,1,0.10
3636,flemming,1,0.19
3637,fletcher,1,0.19
3638,fleur,0,32.56
3639,fleuretta,0,0
3640,flick,0,0.06
3641,flip,1,1.15
3642,flo,0,0
3643,floella,0,0
3644,flora,0,0.76
3645,florence,2,9.68
3646,florencio,1,0
3647,florentin,1,0.80
3648,florentina,0,0
3649,floretta,0,0
3650,florette,0,0
3651,florian,1,1.31
3652,floriana,0,0
3653,florianne,0,0
3654,floriano,1,0
3655,florin,1,0.38
3656,florinda,0,1.85
3657,florine,0,0.06
3658,floris,1,0.10
3659,florrie,0,0
3660,florry,1,0
3661,flossie,0,0.03
3662,flower,0,0.10
3663,floyd,1,0.13
3664,flurry,1,0
3665,foka,1,1.02
3666,folami,1,0
3667,folant,1,0
3668,folke,1,0.03
3669,foma,1,0
3670,fonsie,1,0
3671,forbes,1,0.48
3672,ford,1,2.90
3673,forest,1,0.32
3674,forrest,1,0.03
3675,fortunata,0,0
3676,fortunato,1,0.03
3677,fortune,0,35.39
3678,foster,1,0.38
3679,fotis,1,0
3680,fouad,1,0
3681,fox,1,2.71
3682,fran,0,0.13
3683,franc,1,18.60
3684,franca,0,0.03
3685,france,1,394.52
3686,francene,0,0
3687,frances,0,0.13
3688,francesca,0,1.08
3689,francesco,1,0.99
3690,franci,0,0
3691,francine,0,5.42
3692,francis,2,14.24
3693,francisca,0,0
3694,francisco,1,3.73
3695,franciscus,1,0.19
3696,franciska,0,0
3697,franck,1,11.82
3698,franco,1,10.90
3699,françois,1,30.46
3700,françoise,0,20.13
3701,frang,1,0
3702,frangag,0,0
3703,frank,1,2.61
3704,frankie,2,0.10
3705,franklin,1,2.58
3706,franklyn,1,0
3707,frannie,0,0
3708,frans,1,0.03
3709,franseza,0,0
3710,frantisek,1,0
3711,frantiska,0,0
3712,franz,1,3.22
3713,franziska,0,0
3714,fraser,1,0.35
3715,frauke,0,0
3716,fravardin,1,0
3717,frazier,1,0
3718,frea,0,0
3719,fred,1,9.37
3720,freda,0,0
3721,freddie,2,0.03
3722,freddy,1,1.05
3723,frédéric,1,7.65
3724,frederica,0,0
3725,frederick,1,0.06
3726,frederico,1,0.06
3727,frederik,1,0.03
3728,frederikke,0,0
3729,frédérique,0,5.80
3730,fredo,1,1.88
3731,fredrick,1,0
3732,fredrik,1,0
3733,freek,1,0
3734,freeman,1,0.03
3735,freja,0,0
3736,frey,1,0.10
3737,freya,0,0
3738,freyde,0,0
3739,freyr,1,0
3740,frida,0,0.16
3741,frideswide,0,0
3742,fridrik,1,0
3743,fridtjof,1,0
3744,frieda,0,0.10
3745,friede,0,0
3746,friedemann,1,0
3747,friederike,0,0
3748,friedhelm,1,0
3749,friedhold,1,0
3750,friedrich,1,1.37
3751,frigg,0,0
3752,frigyes,1,0
3753,fríða,0,0
3754,friðrika,0,0
3755,fritjof,1,0
3756,fritz,1,3.12
3757,fritzi,0,0.03
3758,frode,1,0
3759,fruma,0,0
3760,fryderyk,1,0
3761,fu,1,0.13
3762,fuad,1,0
3763,fulbert,1,0
3764,fulgencio,1,0
3765,fulgenzio,1,0
3766,fulk,1,0
3767,fulke,1,0
3768,fülöp,1,0
3769,fulton,1,0.86
3770,fulvia,0,0
3771,fulvio,1,0.06
3772,fyfe,1,0
3773,fyodor,1,0
3774,gabby,2,0
3775,gabe,1,0.03
3776,gabi,1,0
3777,gabino,1,0
3778,gabir,1,0
3779,gábor,1,0
3780,gabr,1,0
3781,gábriel,1,0
3782,gabriel,1,25.20
3783,gabriela,0,0
3784,gabriele,1,0
3785,gabriele,0,0
3786,gabriella,0,1.24
3787,gabrielle,0,17.87
3788,gad,1,0
3789,gadar,0,0
3790,gae,0,0
3791,gaea,0,0
3792,gaenor,0,0
3793,gaétan,1,0.03
3794,gaetana,0,0
3795,gaetane,0,0
3796,gaetano,1,0.70
3797,gafar,1,0
3798,gage,1,4.30
3799,gaia,0,0
3800,gail,2,1.27
3801,gaila,0,0
3802,gaius,1,0.10
3803,gaja,0,0
3804,gal,0,0.22
3805,gala,0,2.39
3806,galadriel,0,0
3807,galahad,1,0.06
3808,galal,1,0
3809,gale,2,0.51
3810,galen,1,0.03
3811,galia,0,0
3812,galila,0,0
3813,galina,0,0
3814,gall,1,0.92
3815,gallagher,1,0
3816,gallus,1,0.13
3817,galya,0,0
3818,gamal,2,0.03
3819,gamaliel,1,0.10
3820,gamil,1,0
3821,gamila,0,0
3822,ganesh,1,0
3823,ganesha,1,0.03
3824,garbhán,1,0
3825,gardenia,0,0
3826,gareth,1,0
3827,garey,1,0
3828,garfield,1,0
3829,garland,1,0
3830,garnet,2,0
3831,garnette,0,0
3832,garret,1,0.29
3833,garrett,1,0.22
3834,garrick,1,0.03
3835,garry,1,0
3836,garsha,1,0
3837,garth,1,0
3838,garvan,1,0
3839,gary,1,1.24
3840,gáspár,1,0
3841,gaspar,1,0.06
3842,gaspard,1,2.23
3843,gaspare,1,0
3844,gasparo,1,0
3845,gasper,1,0
3846,gaston,1,9.37
3847,gathbiyya,0,0
3848,gauhar,0,0
3849,gauri,0,0
3850,gautam,1,0
3851,gautama,1,0.22
3852,gautier,1,2.71
3853,gavin,1,1.12
3854,gavino,1,0
3855,gavrel,1,0
3856,gavriil,1,0
3857,gavril,1,0
3858,gawahir,0,0
3859,gawain,1,0
3860,gawdat,1,0
3861,gawel,1,0
3862,gay,0,2.29
3863,gaye,0,0
3864,gayelord,1,0
3865,gayla,0,0
3866,gayle,2,0
3867,gaylord,1,0.06
3868,gaynor,0,0.03
3869,gazbiyya,0,0
3870,gazsi,1,0
3871,gbemisola,0,0
3872,gearalt,1,0
3873,gearóid,1,0
3874,gebbert,1,0
3875,gebhard,1,0
3876,geena,0,0
3877,geert,1,0
3878,geffrey,1,0
3879,gellért,1,0
3880,geltrude,0,0
3881,gemariah,1,0
3882,gemini,1,0
3883,gemma,0,0.10
3884,gena,0,0
3885,gene,1,0.16
3886,genesis,0,0.03
3887,genette,0,0
3888,geneva,0,0
3889,geneviève,0,15.23
3890,genevra,0,0
3891,genghis,1,0
3892,genie,0,0
3893,genista,0,0
3894,gennadi,1,0
3895,gennadius,1,0
3896,gennadiy,1,0
3897,gennady,1,0
3898,gennaro,1,0.10
3899,genoveffa,0,0
3900,genoveva,0,0.06
3901,geoff,1,0
3902,geoffrey,1,2.90
3903,geoffroi,1,0.06
3904,geordie,1,0
3905,georg,1,0.73
3906,george,1,12.36
